"Architecture","Dedicated","Direct_X","Integrated","L2_Cache","Manufacturer","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Notebook_GPU","Open_GL","Release_Date","Resolution_WxH","SLI_Crossfire","Shader"
"Tesla G92b ","Yes","DX 10.0","No",0,"Nvidia",64,256,1000,"GDDR3","GeForce GTS 150","No","3.3","
01-Mar-2009 ","2560x1600","Yes","4"
"R600 XT ","Yes","DX 10","No",0,"AMD",106,512,828,"GDDR3","Radeon HD 2900 XT 512MB","No","3.1","
14-May-2007 ","2560x1600","Yes","4"
"R600 PRO ","Yes","DX 10","No",0,"AMD",51.2,256,800,"GDDR3","Radeon HD 2900 Pro","No","3.1","
07-Dec-2007 ","2560x1600","Yes","4"
"RV630 ","Yes","DX 10","No",0,"AMD",36.8,128,1150,"GDDR4","Radeon HD 2600 XT Diamond Edition","No","3.3","
01-Jul-2007 ","2560x1600","Yes","4"
"RV630 ","Yes","DX 10","No",0,"AMD",22.4,128,700,"GDDR3","Radeon HD 2600 XT","No","3.1","
28-Jun-2007 ","2560x1600","Yes","4"
"RV630 ","Yes","DX 10","No",0,"AMD",35.2,128,1100,"GDDR4","Radeon HD 2600 XT 256MB GDDR4","No","3.3","
26-Jun-2007 ","2560x1600","Yes","4"
"R700 RV790 XT ","Yes","DX 10.1","No",0,"AMD",134.4,256,1050,"GDDR5","Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition","No","3.3","
13-Jul-2009 ","2560x1600","Yes","4.1"
"R600 GT ","Yes","DX 10","No",0,"AMD",51.2,256,800,"GDDR3","Radeon HD 2900 GT","No","3.1","
06-Nov-2007 ","2560x1600","Yes","4"
"Pitcairn XT GL ","Yes","DX 11.2","No",0,"AMD",160,256,1250,"GDDR5","FirePro D300","No","4.3","
18-Jan-2014 ","4096x2160","Yes","5"
"RV100 ","Yes","DX 7","No",0,"AMD",2.9,64,366,"DDR","Radeon 7000 64mb","No","1.4","
02-Jan-2001 ","1600x1200","No","1"
"Fermi GF110 ","Yes","DX 12.0","No",768,"Nvidia",177.6,384,925,"GDDR5","Tesla M2090","No","4.5","
25-Jul-2011 ","2560x1600","Yes","5"
"Kepler GK110 ","Yes","DX 12.0","No",1536,"Nvidia",168,320,1050,"GDDR5","Tesla K20","No","4.5","
01-Nov-2012 ","4096x2160","No","5"
"Kepler GK110 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","Tesla K40c","No","4.5","
12-Nov-2013 ","4096x2160","Yes","5"
"GCN 1.1 Oland XT + Kaveri ","Yes","DX 12.0","No",23042,"AMD",57.6,128,900,"DDR3","Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual","No","4.4","
28-May-2015 ","2560x1600","Yes","5"
"Kepler GK104 x2 ","Yes","DX 11.1","No",0,"Nvidia",320,512,1250,"GDDR5","Tesla K10","No","4.2","
15-May-2012 ","4096x2160","No","5"
"Kepler GK110 ","Yes","DX 12.0","No",1536,"Nvidia",249.6,384,1300,"GDDR5","Tesla K20X","No","4.5","
12-Nov-2012 ","4096x2160","Yes","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i3 6167U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"R360 ","Yes","DX 9","No",0,"AMD",23.4,256,730,"DDR","Radeon 9800 XT","No","2","
01-Oct-2003 ","2048x1536","No","2"
"Fermi GF100 ","Yes","DX 12.0","No",768,"Nvidia",144,384,750,"GDDR5","Tesla C2070","No","4.5","
01-Sep-2010 ","2560x1600","No","5"
"Fermi GF100 ","Yes","DX 12.0","No",768,"Nvidia",144,384,750,"GDDR5","Tesla C2075","No","4.5","
01-Jul-2011 ","2560x1600","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i5 6360U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Fermi GF100 ","Yes","DX 12.0","No",768,"Nvidia",144,384,750,"GDDR5","Tesla C2050","No","4.5","
01-May-2010 ","2560x1600","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i5 6267U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i5 6260U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Haswell GT3 ","No","DX 11.1","Yes",512,"Intel",25.6,128,800,"DDR3","Iris i5 4258U","Yes","4","
02-Jun-2013 ","2560x1600","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",29.9,128,933,"DDR3","Iris i5 5350H","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i5 6287U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i7 6650U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i7 6567U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i7 6560U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",29.9,128,933,"DDR3","Iris i7 5950HQ","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",25.6,128,800,"DDR3","Iris i7 5850EQ","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",29.9,128,933,"DDR3","Iris i7 5850HQ","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",29.9,128,933,"DDR3","Iris i7 5750HQ","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Pascal GP102 ","Yes","DX 12","No",4,"Nvidia",547.2,96,1425,"GDDR5X","GeForce Titan XP","No","4.5","
06-Apr-2017 ","7680x4320","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","GeForce GTX Titan Zotac Edition","No","4.5","
19-Feb-2013 ","4096x2160","Yes","5"
"Kepler GK110-430-B1 (x2) ","Yes","DX 12.0","No",15362,"Nvidia",672,384,1750,"GDDR5","GeForce GTX Titan Z Palit 12GB Edition","No","4.5","
28-May-2014 ","4096x2160","Yes","5"
"Kepler GK110B ","Yes","DX 11.0","No",2,"Nvidia",672,384,1750,"GDDR5","GeForce GTX Titan Z EVGA Superclocked 12GB Edition","No","4.4","
28-May-2014 ","4096x2160","Yes","5"
"Kepler GK110-430-B1 (x2) ","Yes","DX 12.0","No",15362,"Nvidia",672,384,1750,"GDDR5","GeForce GTX Titan Z","No","4.5","
28-May-2014 ","4096x2160","Yes","5"
"Kepler GK110B ","Yes","DX 11.0","No",2,"Nvidia",672,384,1750,"GDDR5","GeForce GTX Titan Z EVGA Hydro Copper 12GB Edition","No","4.4","
28-May-2014  ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 ","Yes","DX 12.1","No",3072,"Nvidia",336.6,384,1753,"GDDR5","GeForce GTX Titan X EVGA Hybrid 12GB Edition","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 (x2) ","Yes","DX 12.1","No",30722,"Nvidia",673.2,384,1753,"GDDR5","GeForce GTX Titan X EVGA Superclocked 12GB Edition SLI","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",317.2,384,1652,"GDDR5","GeForce GTX Titan Zotac AMP! Edition","No","4.5","
01-Apr-2013 ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 (x2) ","Yes","DX 12.1","No",30722,"Nvidia",673.2,384,1753,"GDDR5","GeForce GTX Titan X SLI","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 ","Yes","DX 12.1","No",3072,"Nvidia",336.6,384,1753,"GDDR5","GeForce GTX Titan X","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 ","Yes","DX 12.1","No",3072,"Nvidia",336.6,384,1753,"GDDR5","GeForce GTX Titan X EVGA Superclocked 12GB Edition","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","GeForce GTX Titan WindForce 3X OC Edition","No","4.5","
15-May-2013 ","4096x2160","Yes","5"
"Kepler GK110-400-A1 (x2) ","Yes","DX 12.0","No",15362,"Nvidia",576.8,384,1502,"GDDR5","GeForce GTX Titan SLI","No","4.5","
19-Feb-2013 ","4096x2160","Yes","5"
"Pascal P100 ","Yes","DX 12.1","No",3072,"Nvidia",384,3072,500,"HBM-2","GeForce GTX Titan P 12GB [not released]","No","4.5","
17-Aug-2016 ","7680x4320","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","GeForce GTX Titan Inno3D Edition","No","4.5","
19-Feb-2013 ","4096x2160","Yes","5"
"Pascal P100 ","Yes","DX 12.1","No",3072,"Nvidia",512,4096,500,"HBM-2","GeForce GTX Titan P 16GB [not released]","No","4.5","
17-Aug-2016 ","7680x4320","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","GeForce GTX Titan Gigabyte Edition","No","4.5","
19-Feb-2013 ","4096x2160","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","GeForce GTX Titan iChill Accelero Hybrid Edition","No","4.5","
15-Mar-2013 ","4096x2160","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","GeForce GTX Titan Asus Edition","No","4.5","
19-Feb-2013 ","4096x2160","Yes","5"
"Kepler GK110-430-B1 ","Yes","DX 12.0","No",1536,"Nvidia",336,384,1750,"GDDR5","GeForce GTX Titan Black Edition","No","4.5","
18-Feb-2014 ","4096x2160","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","GeForce GTX Titan EVGA Edition","No","4.5","
19-Feb-2013 ","4096x2160","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","GeForce GTX Titan","No","4.5","
19-Feb-2013 ","4096x2160","Yes","5"
"Terrascale 2 ","Yes","DX 11","No",0,"AMD",28.8,128,900,"DDR3","Radeon HD 7660D + 6670 Dual","No","4.2","
01-Jun-2012 ","2560x1600","No","5"
"Terrascale 2 ","Yes","DX 11","No",0,"AMD",28.8,128,900,"DDR3","Radeon HD 7560D + 6570 Dual","No","4.2","
01-Jul-2012 ","2560x1600","No","5"
"Terrascale 3 ","Yes","DX 11","No",0,"AMD",28.8,128,900,"DDR3","Radeon HD 7660D + 7670 Dual","No","4.2","
01-Jun-2012 ","2560x1600","No","5"
"R200 ","Yes","DX 8.1","No",0,"AMD",8.8,128,550,"DDR","Radeon 8500 Series 64MB","No","1.4","
02-Jan-2001 ","2048x1536","No","1.4"
"R360 ","Yes","DX 9","No",0,"AMD",44.8,256,700,"DDR2","Radeon 9800 Pro","No","2","
01-Mar-2003 ","2048x1536","No","2"
"RV360 ","Yes","DX 9.0","No",0,"AMD",4.8,128,300,"DDR","Radeon 9600 PRO PC/Mac Edition","No","2","
01-Aug-2005 ","2048x1536","No","2"
"RV350 ","Yes","DX 9","No",0,"AMD",3.2,128,200,"DDR","Radeon 9550","No","2","
02-Jan-2004 ","2048x1536","No","2"
"RV360 ","Yes","DX 9.0","No",0,"AMD",4.8,128,300,"DDR","Radeon 9600 PRO","No","2","
01-Oct-2003 ","2048x1536","No","2"
"R300 ","Yes","DX 9","No",0,"AMD",4.3,128,270,"DDR","Radeon 9500 Pro","No","2","
24-Oct-2002 ","2048x1536","No","2"
"R300 ","Yes","DX 9","No",0,"AMD",4.3,128,270,"DDR","Radeon 9500","No","2","
24-Oct-2002 ","2048x1536","No","2"
"RV350 ","Yes","DX 9","No",0,"AMD",6.4,128,400,"DDR","Radeon 9600 Series","No","2","
02-Jan-2003 ","2048x1536","No","2"
"RV280 ","Yes","DX 8.1","No",0,"AMD",3.2,128,200,"DDR","Radeon 9250","No","1.4","
02-Jan-2004 ","2048x1536","No","1.4"
"RV280 ","Yes","DX 8.1","No",0,"AMD",3.2,128,200,"DDR","Radeon 9200 Series","No","1.4","
01-Apr-2003 ","2048x1536","No","1.4"
"RV250 ","Yes","DX 8.1","No",0,"AMD",8,128,500,"DDR","Radeon 9000 Series 64MB","No","1.4","
01-Aug-2002 ","2048x1536","No","1.4"
"GCN 2.0 Hawaii XT GL ","Yes","DX 11.2","No",1024,"AMD",320,512,1250,"GDDR5","FirePro W9100","No","4.4","
26-Mar-2014 ","4096x2160","Yes","5"
"Tahiti Pro ","Yes","DX 11.1","No",0,"AMD",176,256,1375,"GDDR5","FirePro W8000","No","4.2","
14-Jun-2012 ","4096x2160","Yes","5"
"Pitcairn LE ","Yes","DX 11.1","No",0,"AMD",102.4,256,800,"GDDR5","FirePro W5000","No","4.2","
01-Aug-2012 ","4096x2160","Yes","5"
"Tahiti XT ","Yes","DX 11.1","No",0,"AMD",264,384,1375,"GDDR5","FirePro W9000","No","4.2","
01-Aug-2012 ","4096x2160","Yes","5"
"RV770 XT ","Yes","DX 10.1","No",0,"AMD",115.2,256,900,"GDDR5","FirePro V8750","No","3.3","
28-Jul-2009 ","2560x1600","Yes","4.1"
"Pitcairn XT ","Yes","DX 11.1","No",0,"AMD",153.6,256,1200,"GDDR5","FirePro W7000","No","4.2","
13-Jun-2012 ","4096x2160","Yes","5"
"Cayman Pro GL ","Yes","DX 11","No",0,"AMD",160,256,1250,"GDDR5","FirePro V7900","No","4.1","
24-May-2011 ","2560x1600","Yes","5"
"GCN 1.1 Oland PRO ","Yes","DX 12.0","No",512,"AMD",28.8,128,900,"DDR3","FirePro W2100","No","4.4","
12-Aug-2014 ","4096x2160","No","5"
"RV770 XT ","Yes","DX 10.1","No",0,"AMD",108.8,256,850,"GDDR5","FirePro V8700","No","3.3","
11-Sep-2008 ","2560x1600","Yes","4.1"
"RV870 ","Yes","DX 11","No",0,"AMD",128,256,1000,"GDDR5","FirePro V7800","No","4.1","
26-Apr-2010 ","2560x1600","Yes","5"
"Cayman LE GL ","Yes","DX 11","No",0,"AMD",128,256,1000,"GDDR5","FirePro V5900","No","4.1","
24-May-2011 ","2560x1600","Yes","5"
"RV250 ","Yes","DX 8","No",0,"AMD",3.2,128,200,"DDR","All-in-Wonder 9000 64MB","No","1.3","
01-Mar-2003 ","2048x1536","No","1.4"
"Evergreen Juniper XT GL ","Yes","DX 11.1","No",0,"AMD",64,128,1000,"GDDR5","FirePro V5800","No","4.2","
26-Apr-2010 ","4096x2160","Yes","5"
"RV730 ","Yes","DX 10.1","No",0,"AMD",28.8,128,900,"GDDR3","FirePro V5700","No","3.3","
08-Aug-2008 ","2560x1600","No","4.1"
"RV730 ","Yes","DX 10.1","No",0,"AMD",22.4,128,700,"GDDR3","FirePro V3750","No","3.3","
11-Sep-2008 ","2560x1600","No","4.1"
"GCN 2.0 Hawaii XT GL ","Yes","DX 11.2","No",1024,"AMD",320,512,1250,"GDDR5","FirePro S9150","No","4.2","
01-Aug-2014 ","4096x2160","Yes","5"
"GCN 1.0 Tahiti PRO GL ","Yes","DX 12.0","No",768,"AMD",264,384,1375,"GDDR5","FirePro S9050","No","4.4","
01-Aug-2014 ","4096x2160","Yes","5"
"Cypress XT ","Yes","DX 11","No",0,"AMD",147.2,256,1150,"GDDR5","FirePro V9800","No","4.1","
01-Sep-2010 ","2560x1600","Yes","5"
"GCN 1.0 Tahiti PRO GL ","Yes","DX 12.0","No",768,"AMD",264,384,1375,"GDDR5","FirePro S9000","No","4.4","
01-Aug-2012 ","4096x2160","Yes","5"
"Pitcairn XT ","Yes","DX 11.1","No",0,"AMD",153.6,256,1200,"GDDR5","FirePro S7000","No","4.2","
01-Aug-2012 ","4096x2160","No","5"
"Tahiti XT GL ","Yes","DX 11.2","No",0,"AMD",264,384,1375,"GDDR5","FirePro D700","No","4.3","
18-Jan-2014 ","4096x2160","Yes","5"
"Tahiti LE ","Yes","DX 11.1","No",0,"AMD",240,384,1250,"GDDR5","FirePro D500","No","4.2","
18-Jan-2014 ","4096x2160","Yes","5"
"Turks ","Yes","DX 11","No",0,"AMD",28.8,128,900,"DDR3","FirePro V3900","No","4.2","
01-Feb-2012 ","2560x1600","No","5"
"Kaveri Spectre ","No","DX 11.2","Yes",0,"AMD",34.1,128,1067,"DDR3","Radeon R7 7860K","No","4.3","
02-Feb-2016 ","4096x2160","No","5"
"RV870 ","Yes","DX 11","No",0,"AMD",153.6,256,1200,"GDDR5","FireStream 9370","No","4","
23-Jun-2010 ","2560x1600","No","5"
"Kaveri Spectre ","No","DX 11.2","Yes",0,"AMD",34.1,128,1067,"DDR3","Radeon R7 7700K","No","4.3","
17-Feb-2014 ","4096x2160","No","5"
"Kaveri Spectre ","No","DX 11.2","Yes",4096,"AMD",34.1,128,1067,"DDR3","Radeon R7 7850K","No","4.3","
14-Jan-2014 ","4096x2160","No","5"
"Kaveri Spectre ","No","DX 11.2","Yes",0,"AMD",34.1,128,1067,"DDR3","Radeon R7 7870K","No","4.3","
28-May-2015 ","4096x2160","No","5"
"Kaveri Spectre ","No","DX 11.2","Yes",0,"AMD",34.1,128,1067,"DDR3","Radeon R7 7890K","No","4.3","
01-Mar-2016 ","4096x2160","No","5"
"GCN 1.0 Tahiti PRO ","Yes","DX 12.0","No",768,"AMD",240,384,1250,"GDDR5","FirePro S10000","No","4.4","
01-Nov-2012 ","4096x2160","Yes","5"
"RV770 ","Yes","DX 10.1","No",0,"AMD",108.8,256,850,"GDDR5","FireStream 9270","No","3","
13-Nov-2008 ","2560x1600","No","4"
"RV870 ","Yes","DX 11","No",0,"AMD",128,256,1000,"GDDR5","FireStream 9350","No","4","
01-Jun-2010 ","2560x1600","No","5"
"RV670 ","Yes","DX 10.1","No",0,"AMD",51.2,256,800,"GDDR3","FireStream 9170","No","3","
08-Nov-2007 ","2560x1600","No","4"
"Kaveri Spectre ","No","DX 11.2","Yes",0,"AMD",34.1,128,1067,"DDR3","Radeon R7 7800","No","4.3","
30-Jun-2014 ","4096x2160","No","5"
"RV770 ","Yes","DX 10.1","No",0,"AMD",63.6,256,993,"GDDR3","FireStream 9250","No","3","
16-Jun-2008 ","2560x1600","No","4"
"Kaveri ","No","DX 11.2","Yes",0,"AMD",34.1,128,1067,"DDR3","Radeon R7 7600","No","4.3","
30-Jun-2014 ","4096x2160","No","5"
"Kaveri ","No","DX 11.2","Yes",0,"AMD",34.1,128,1067,"DDR3","Radeon R7 7600P","No","4.3","
30-Jun-2014 ","4096x2160","No","5"
"GCN 1.1 Godavari-KV-A1 ","No","DX 12.0","Yes",4096,"AMD",34.1,128,1067,"DDR3","Radeon R7 7670K","No","4.4","
20-Jul-2015 ","4096x2160","No","5"
"GCN 1.1 Kaveri-KV-A1 ","No","DX 12.0","Yes",4096,"AMD",34.1,128,1067,"DDR3","Radeon R7 7650K","No","4.4","
01-Feb-2015 ","4096x2160","No","5"
"Kabini ","Yes","DX 11.2","No",0,"AMD",25.6,128,800,"DDR3","Radeon R3 5150","No","4.3","
09-Apr-2014 ","4096x2160","No","5"
"Richland ","No","DX 11.1","Yes",0,"AMD",34.1,128,1067,"DDR3","Radeon HD 8670D","No","4.1","
01-Jun-2013 ","2560x1600","No","5"
"Kaveri ","No","DX 11.2","Yes",0,"AMD",29.9,128,933,"DDR3","Radeon R5 7400K","No","4.3","
30-Jun-2014 ","4096x2160","No","5"
"Kabini ","No","DX 11.2","Yes",0,"AMD",25.6,128,800,"DDR3","Radeon R3 5350","No","4.3","
09-Apr-2014 ","4096x2160","No","5"
"Terascale 2 Thames PRO ","No","DX 11.0","Yes",256,"AMD",34.1,128,1067,"DDR3","Radeon HD 8650D","No","4.3","
28-Dec-2013 ","2560x1600","Yes","5"
"Richland ","No","DX 11.1","Yes",0,"AMD",29.9,128,933,"DDR3","Radeon HD 8570D","No","4.1","
01-Jun-2013 ","2560x1600","No","5"
"Terascale 2 Thames PRO ","Yes","DX 11.0","No",256,"AMD",34.1,128,1067,"DDR3","Radeon HD 8550D","No","4.3","
18-Sep-2013 ","2560x1600","Yes","5"
"Richland ","No","DX 11.1","Yes",0,"AMD",29.9,128,933,"DDR3","Radeon HD 8470D","No","4.1","
01-Jun-2013 ","2560x1600","No","5"
"Scrapper ","No","DX 11","Yes",0,"AMD",29.9,128,933,"DDR3","Radeon HD 7540D","No","4.1","
01-Jun-2012 ","2560x1600","No","5"
"Terascale 2 Thames PRO ","No","DX 11.0","Yes",256,"AMD",34.1,128,1067,"DDR3","Radeon HD 8370D","No","4.3","
18-Sep-2013 ","2560x1600","Yes","5"
"Trinity ","No","DX 11","Yes",0,"AMD",25.6,128,800,"DDR3","Radeon HD 7480D","No","4.1","
01-Jun-2012 ","2560x1600","No","5"
"RV610 ","Yes","DX 10","No",0,"AMD",6.4,64,400,"DDR2","Radeon HD 2400 Pro PCI-E","No","3.1","
01-Jun-2007 ","2560x1600","Yes","4"
"RV630 ","Yes","DX 10","No",0,"AMD",16,128,500,"DDR2","Radeon HD 2600 Pro","No","3.1","
28-Jun-2007 ","2560x1600","Yes","4"
"RV610 ","Yes","DX 10","No",0,"AMD",6.4,64,400,"DDR2","Radeon HD 2400 Pro","No","3.1","
28-Jun-2007 ","2560x1600","Yes","4"
"RV610 ","Yes","DX 10","No",0,"AMD",6.4,64,400,"DDR2","Radeon HD 2400 MSI Pro 256MB GDDR2","No","3.1","
01-Jul-2007 ","2560x1600","Yes","4"
"R700 RV790 XT ","Yes","DX 10.1","No",0,"AMD",134.4,256,1050,"GDDR5","Radeon HD 4890 Sapphire Vapor-X OC 1GB Edition","No","3.3","
18-May-2009 ","2560x1600","Yes","4.1"
"BeaverCreek ","No","DX 11","Yes",0,"AMD",29.9,128,933,"DDR3","Radeon HD 6530D","No","4.1","
20-Jun-2011 ","2560x1600","No","5"
"R700 RV790 XT ","Yes","DX 10.1","No",0,"AMD",134.4,256,1050,"GDDR5","Radeon HD 4890 Sapphire Toxic Atomic 1GB Edition","No","3.3","
19-May-2009 ","2560x1600","No","4.1"
"RV610 ","Yes","DX 10","No",0,"AMD",6.4,64,400,"DDR2","Radeon HD 2350 Pro","No","3.1","
01-Jan-2007 ","2560x1600","Yes","4"
"R700 RV790 XT ","Yes","DX 10.1","No",0,"AMD",128,256,1000,"GDDR5","Radeon HD 4890 Sapphire OC 1GB Edition","No","3.3","
02-Apr-2009 ","2560x1600","Yes","4.1"
"R700 XT ","Yes","DX 10.1","No",0,"AMD",230.4,512,900,"GDDR5","Radeon HD 4870 X2","No","3.2","
01-Apr-2009 ","2560x1600","Yes","4.1"
"R700 RV790 XT ","Yes","DX 10.1","No",0,"AMD",134.4,256,1050,"GDDR5","Radeon HD 4890 Sapphire Toxic 1GB Edition","No","3.3","
26-May-2009 ","2560x1600","Yes","4.1"
"R700 RV770 PRO ","Yes","DX 10.1","No",0,"AMD",115.2,256,900,"GDDR5","Radeon HD 4870 Sapphire Vapor-X 1GB Edition","No","3.3","
 07-Mar-2009 ","2560x1600","Yes","4.1"
"R700 RV790 XT ","Yes","DX 10.1","No",0,"AMD",124.8,256,975,"GDDR5","Radeon HD 4890","No","3.3","
02-Apr-2009 ","2560x1600","Yes","4.1"
"RV770 PRO ","Yes","DX 10.1","No",0,"AMD",115.2,256,900,"GDDR5","Radeon HD 4870","No","3.2","
01-Jun-2008 ","2560x1600","Yes","4.1"
"R700 RV770 PRO ","Yes","DX 10.1","No",0,"AMD",121.6,256,950,"GDDR5","Radeon HD 4870 PowerColor PCS+ 512MB Edition","No","3.3","
25-Jun-2008 ","2560x1600","Yes","4.1"
"R700 RV770 PRO ","Yes","DX 10.1","No",0,"AMD",63.6,256,993,"GDDR3","Radeon HD 4850x2","No","3.3","
01-Apr-2009 ","2560x1600","Yes","4.1"
"R700 RV770 PRO ","Yes","DX 10.1","No",0,"AMD",64,256,1000,"GDDR3","Radeon HD 4850 Sapphire Vapor-X Edition","No","3.3","
01-Oct-2011 ","2560x1600","Yes","4.1"
"RV790 GT ","Yes","DX 10.1","No",0,"AMD",96,256,750,"GDDR5","Radeon HD 4860","No","3.3","
09-Sep-2009 ","2560x1600","Yes","4.1"
"R700 RV770 PRO ","Yes","DX 10.1","No",0,"AMD",70.4,256,1100,"GDDR3","Radeon HD 4850 Golden Sample Edition","No","3.3","
01-Aug-2008 ","2560x1600","Yes","4.1"
"R700 RV770 PRO ","Yes","DX 10.1","No",0,"AMD",63.6,256,993,"GDDR3","Radeon HD 4850 HIS iCooler IV 1GB Edition","No","3.3","
01-Jun-2008 ","2560x1600","Yes","4.1"
"R700 RV770 PRO ","Yes","DX 10.1","No",0,"AMD",60.2,256,940,"GDDR3","Radeon HD 4850 Gigabyte 512MB Edition","No","3.3","
01-Oct-2011 ","2560x1600","Yes","4.1"
"R700 RV770 PRO ","Yes","DX 10.1","No",0,"AMD",63.4,256,990,"GDDR3","Radeon HD 4850 Gigabyte OC Edition","No","3.3","
01-Jun-2009 ","2560x1600","Yes","4.1"
"R700 RV770 PRO ","Yes","DX 10.1","No",0,"AMD",63.6,256,993,"GDDR3","Radeon HD 4850","No","3.3","
01-Jun-2008 ","2560x1600","Yes","4.1"
"R700 RV790 LE ","Yes","DX 10.1","No",0,"AMD",57.6,256,900,"GDDR3","Radeon HD 4830 512MB","No","3.3","
21-Oct-2008 ","2560x1600","Yes","4.1"
"R700 RV790 LE ","Yes","DX 10.1","No",0,"AMD",57.6,256,900,"GDDR3","Radeon HD 4830 HIS Fan 512MB Edition","No","3.3","
21-Oct-2008 ","2560x1600","Yes","4.1"
"R700 RV730 XT ","Yes","DX 10.1","No",0,"AMD",27.9,128,873,"GDDR3","Radeon HD 4670 HIS IceQ 1GB Edition","No","3.3","
01-Sep-2008 ","2560x1600","Yes","4.1"
"R700 RV740 PRO ","Yes","DX 10.1","No",0,"AMD",51.2,128,800,"GDDR5","Radeon HD 4770 512MB","No","3.3","
28-Apr-2009 ","2560x1600","Yes","4.1"
"RV770 CE ","Yes","DX 10.1","No",0,"AMD",57.6,128,900,"GDDR5","Radeon HD 4730 ","No","3","
08-Jun-2009 ","2560x1600","Yes","4.1"
"RV770 CE ","Yes","DX 10.1","No",0,"AMD",57.6,128,900,"GDDR5","Radeon HD 4730 PowerColor PCS Edition","No","3","
08-Nov-2009 ","2560x1600","Yes","4.1"
"RV740 PRO ","Yes","DX 10.1","No",0,"AMD",51.2,128,800,"GDDR5","Radeon HD 4750","No","3.3","
09-Sep-2009 ","2560x1600","Yes","4.1"
"R700 RV730 XT ","Yes","DX 10.1","No",0,"AMD",25.6,128,800,"GDDR3","Radeon HD 4670 Gigabyte 1GB Edition","No","3.3","
01-Nov-2009 ","2560x1600","Yes","4.1"
